Episódio,Recompensa Total,Passos,Timesteps Globais
603,-499.47,58,67122
604,75.31,1001,68123
605,-999.95,19,68142
606,-997.35,18,68160
607,-995.1,15,68175
608,-474.24,81,68256
609,-488.36,69,68325
610,-489.85,117,68442
611,-993.45,19,68461
612,-483.79,57,68518
613,-496.43,50,68568
614,-994.18,19,68587
615,-997.58,19,68606
616,-996.43,14,68620
617,-990.13,28,68648
618,-995.84,14,68662
619,-995.97,26,68688
620,-994.02,13,68701
621,163.66,1001,69702
622,-999.45,18,69720
623,-481.52,86,69806
624,-993.13,18,69824
625,-993.66,22,69846
626,-992.95,21,69867
627,-994.22,26,69893
628,-991.16,29,69922
629,-996.86,18,69940
630,-472.92,101,70041
631,-493.06,22,70063
632,-994.35,14,70077
633,-997.53,34,70111
634,-989.66,30,70141
635,-971.07,72,70213
636,-992.28,35,70248
637,-998.21,21,70269
638,-483.72,72,70341
639,-459.21,109,70450
640,-996.5,14,70464
641,-988.78,72,70536
642,-993.62,23,70559
643,-962.79,132,70691
644,-996.58,21,70712
645,-985.09,72,70784
646,-478.16,74,70858
647,-992.5,14,70872
648,-993.56,21,70893
649,-970.26,129,71022
650,-988.34,30,71052
651,-958.07,144,71196
652,-996.13,18,71214
653,-993.43,20,71234
654,-994.59,18,71252
655,-1000.54,26,71278
656,-989.41,34,71312
657,-473.07,73,71385
658,-992.32,13,71398
659,-993.16,27,71425
660,-993.28,14,71439
661,-997.32,15,71454
662,-997.01,18,71472
663,-982.25,84,71556
664,-475.46,76,71632
665,-465.75,100,71732
666,-993.13,33,71765
667,-485.88,46,71811
668,-486.09,58,71869
669,-993.38,17,71886
670,-996.23,18,71904
671,-466.35,111,72015
672,-995.53,19,72034
673,-993.71,24,72058
674,-975.26,84,72142
675,-994.31,14,72156
676,-490.35,30,72186
677,-994.14,19,72205
678,-995.9,20,72225
679,-994.57,19,72244
680,-488.92,30,72274
681,-994.86,26,72300
682,-997.29,14,72314
683,-992.83,33,72347
684,-984.23,72,72419
685,-992.38,21,72440
686,-991.09,32,72472
687,-996.48,14,72486
688,-993.49,15,72501
689,-991.58,26,72527
690,-995.45,36,72563
691,-995.8,14,72577
692,-994.4,22,72599
693,-994.18,19,72618
694,-959.13,125,72743
695,-994.53,22,72765
696,-995.12,19,72784
697,-472.94,93,72877
698,-994.01,13,72890
699,-475.3,82,72972
700,-990.42,13,72985
701,-993.44,19,73004
702,-994.67,37,73041
703,-994.38,16,73057
704,-994.54,18,73075
705,-994.79,13,73088
706,-993.45,21,73109
707,-995.45,20,73129
708,-996.3,28,73157
709,-966.53,141,73298
710,-966.03,138,73436
711,-975.43,127,73563
712,-994.18,15,73578
713,-480.31,45,73623
714,-986.49,32,73655
715,-991.62,35,73690
716,-995.91,17,73707
717,-995.39,13,73720
718,-976.39,81,73801
719,-996.17,14,73815
720,-998.75,40,73855
721,-482.44,52,73907
722,-997.72,20,73927
723,-994.31,23,73950
724,-993.58,24,73974
725,-994.94,26,74000
726,-992.74,42,74042
727,-485.03,57,74099
728,-489.58,43,74142
729,-993.79,25,74167
730,-490.99,54,74221
731,-995.85,19,74240
732,-995.6,18,74258
733,-993.8,19,74277
734,-474.39,82,74359
735,287.58,1001,75360
736,-994.67,18,75378
737,-475.73,70,75448
738,-987.1,31,75479
739,-993.2,27,75506
740,-476.24,57,75563
741,-991.88,18,75581
742,-994.34,17,75598
743,-994.07,19,75617
744,-966.2,127,75744
745,-994.49,20,75764
746,-996.97,18,75782
747,-993.21,19,75801
748,-994.6,18,75819
749,-992.91,40,75859
750,-994.04,13,75872
751,-990.68,21,75893
752,-992.92,17,75910
753,-485.18,38,75948
754,-991.47,24,75972
755,-990.91,23,75995
756,-973.2,71,76066
757,-995.45,17,76083
758,-994.1,18,76101
759,-993.65,12,76113
760,-467.81,75,76188
761,-485.92,53,76241
762,-989.73,19,76260
763,-993.53,17,76277
764,-977.84,81,76358
765,-995.67,21,76379
766,-991.11,18,76397
767,-462.87,104,76501
768,-984.27,26,76527
769,-993.49,13,76540
770,-960.16,134,76674
771,-484.41,46,76720
772,-994.2,16,76736
773,-992.45,17,76753
774,-991.0,29,76782
775,-954.15,121,76903
776,-991.0,31,76934
777,-996.11,13,76947
778,-993.63,20,76967
779,-992.46,23,76990
780,-994.35,17,77007
781,-994.6,17,77024
782,-995.66,17,77041
783,-968.14,125,77166
784,-992.35,20,77186
785,-992.61,16,77202
786,-994.37,27,77229
787,-989.58,28,77257
788,-472.02,66,77323
789,-969.39,139,77462
790,-992.4,21,77483
791,-992.98,20,77503
792,-961.54,127,77630
793,-993.27,23,77653
794,-996.37,15,77668
795,-967.59,129,77797
796,-991.98,32,77829
797,-993.31,17,77846
798,-993.82,13,77859
799,-465.55,99,77958
800,-472.74,68,78026
801,-990.05,14,78040
802,-479.73,65,78105
803,-485.58,48,78153
804,-467.15,110,78263
805,-991.69,18,78281
806,-994.08,15,78296
807,-996.54,15,78311
808,-991.1,38,78349
809,-482.86,44,78393
810,-991.67,28,78421
811,-990.85,19,78440
812,-464.82,78,78518
813,313.79,1001,79519
814,-991.75,16,79535
815,-990.28,17,79552
816,-991.6,22,79574
817,-992.8,17,79591
818,-989.17,35,79626
819,-993.32,20,79646
820,-992.31,14,79660
821,-953.84,123,79783
822,-989.49,24,79807
823,-992.26,15,79822
824,-465.85,82,79904
825,-485.05,49,79953
826,-983.18,35,79988
827,-993.28,20,80008
828,-995.28,30,80038
829,-993.51,18,80056
830,-996.02,16,80072
831,-992.9,15,80087
832,-477.86,56,80143
833,-986.71,18,80161
834,-481.6,48,80209
835,-993.54,31,80240
836,-987.06,17,80257
837,-993.62,14,80271
838,-992.78,16,80287
839,-472.83,68,80355
840,-954.04,123,80478
841,-471.9,75,80553
842,-458.82,76,80629
843,-990.04,12,80641
844,-954.06,122,80763
845,-946.83,148,80911
846,-990.48,19,80930
847,-989.85,28,80958
848,-994.23,14,80972
849,-991.11,15,80987
850,-984.05,37,81024
851,-943.49,142,81166
852,-995.11,13,81179
853,-990.77,14,81193
854,-949.22,123,81316
855,-987.72,40,81356
856,-988.0,25,81381
857,-988.99,28,81409
858,-457.06,104,81513
859,-986.72,21,81534
860,-993.73,16,81550
861,-956.0,123,81673
862,-988.63,32,81705
863,-994.77,14,81719
864,-466.83,67,81786
865,-948.56,120,81906
866,-984.38,27,81933
867,-455.43,95,82028
868,-472.86,52,82080
869,-987.27,16,82096
870,-992.01,15,82111
871,-992.75,16,82127
872,-994.82,29,82156
873,-449.63,99,82255
874,-989.58,14,82269
875,-994.65,18,82287
876,-460.63,85,82372
877,-993.67,13,82385
878,-990.7,27,82412
879,-992.69,16,82428
880,-984.85,32,82460
881,400.31,1001,83461
882,-989.68,23,83484
883,-948.87,125,83609
884,-997.75,22,83631
885,-941.79,118,83749
886,-990.6,17,83766
887,-937.33,139,83905
888,-937.12,119,84024
889,-966.91,72,84096
890,-987.73,27,84123
891,-475.43,47,84170
892,-477.25,46,84216
893,-988.11,16,84232
894,-987.78,18,84250
895,-990.56,19,84269
896,-456.35,97,84366
897,-987.38,22,84388
898,-987.97,22,84410
899,-991.44,14,84424
900,-984.78,27,84451
901,-480.34,39,84490
902,-445.49,100,84590
903,-943.35,119,84709
904,-986.98,26,84735
905,-460.04,88,84823
906,-448.75,96,84919
907,-986.35,19,84938
908,-994.83,13,84951
909,-469.06,48,84999
910,-481.57,47,85046
911,-451.64,89,85135
912,-948.16,123,85258
913,-994.75,13,85271
914,-991.63,20,85291
915,-995.57,14,85305
916,-964.95,72,85377
917,-939.46,140,85517
918,-992.18,16,85533
919,-937.08,123,85656
920,-962.89,73,85729
921,-988.67,23,85752
922,-985.48,33,85785
923,-992.41,17,85802
924,-463.96,69,85871
925,-933.35,123,85994
926,-993.78,17,86011
927,-992.93,23,86034
928,-987.47,32,86066
929,-982.23,31,86097
930,-453.62,90,86187
931,-468.78,67,86254
932,-987.79,20,86274
933,-986.71,23,86297
934,-978.74,35,86332
935,-985.44,31,86363
936,-991.27,18,86381
937,-992.86,13,86394
938,-991.27,16,86410
939,-463.43,66,86476
940,-935.08,127,86603
941,-939.29,116,86719
942,-995.4,14,86733
943,-949.19,124,86857
944,-992.59,13,86870
945,-990.74,16,86886
946,-991.45,14,86900
947,-462.52,76,86976
948,-992.12,17,86993
949,-992.93,16,87009
950,-963.29,71,87080
951,-992.65,18,87098
952,-452.1,105,87203
953,-985.9,19,87222
954,-989.24,15,87237
955,-993.85,13,87250
956,-986.17,29,87279
957,-945.54,136,87415
958,-941.69,117,87532
959,-991.12,14,87546
960,-986.58,26,87572
961,-984.09,39,87611
962,-992.54,13,87624
963,-940.68,132,87756
964,-467.11,66,87822
965,-984.06,28,87850
966,-994.14,17,87867
967,-995.81,18,87885
968,-991.45,14,87899
969,-986.27,31,87930
970,-992.37,17,87947
971,-985.83,23,87970
972,-988.96,24,87994
973,-960.87,72,88066
974,-990.18,27,88093
975,-991.4,13,88106
976,-983.99,33,88139
977,-991.67,12,88151
978,-455.56,79,88230
979,-981.19,43,88273
980,-939.16,115,88388
981,-993.53,16,88404
982,-992.94,13,88417
983,-993.42,13,88430
984,-993.36,21,88451
985,-991.62,16,88467
986,-947.77,118,88585
987,-984.12,22,88607
988,-989.49,17,88624
989,-986.93,20,88644
990,512.9,1001,89645
991,-449.05,91,89736
992,-977.97,36,89772
993,-986.57,28,89800
994,-992.24,16,89816
995,-454.91,76,89892
996,-992.42,13,89905
997,-988.62,17,89922
998,-984.62,24,89946
999,-990.72,23,89969
1000,-991.47,13,89982
1001,-480.61,38,90020
1002,-976.85,36,90056
1003,-984.82,32,90088
1004,-991.47,13,90101
1005,-992.57,13,90114
1006,-450.2,95,90209
1007,-991.18,16,90225
1008,-990.53,16,90241
1009,-991.83,12,90253
1010,-991.44,17,90270
1011,-956.02,80,90350
1012,-993.41,13,90363
1013,-984.67,32,90395
1014,-472.69,47,90442
1015,-978.12,43,90485
1016,519.12,1001,91486
1017,-983.97,27,91513
1018,-441.23,102,91615
1019,-460.59,62,91677
1020,-442.49,100,91777
1021,-986.79,16,91793
1022,-988.71,18,91811
1023,-983.37,24,91835
1024,-989.16,14,91849
1025,-987.64,15,91864
1026,-991.4,12,91876
1027,-424.3,101,91977
1028,-992.18,12,91989
1029,-454.94,76,92065
1030,-987.68,11,92076
1031,-978.53,32,92108
1032,-435.44,99,92207
1033,-469.92,51,92258
1034,-988.99,16,92274
1035,-453.93,64,92338
1036,-985.69,20,92358
1037,-472.83,45,92403
1038,-988.2,25,92428
1039,-440.86,99,92527
1040,-985.95,14,92541
1041,-989.93,18,92559
1042,-990.48,20,92579
1043,-986.67,19,92598
1044,-989.09,17,92615
1045,-479.8,39,92654
1046,-462.57,61,92715
1047,-984.52,23,92738
1048,-444.94,83,92821
1049,-990.3,18,92839
1050,-991.65,12,92851
1051,-444.01,84,92935
1052,-931.18,116,93051
1053,-460.92,62,93113
1054,-985.22,14,93127
1055,-928.85,113,93240
1056,-987.75,15,93255
1057,-987.78,16,93271
1058,-439.24,90,93361
1059,-987.61,13,93374
1060,-988.15,15,93389
1061,-985.44,26,93415
1062,-984.0,24,93439
1063,-975.76,43,93482
1064,-438.01,91,93573
1065,-985.88,26,93599
1066,-436.97,105,93704
1067,-987.45,15,93719
1068,-987.67,22,93741
1069,-988.21,20,93761
1070,-987.55,15,93776
1071,-449.32,71,93847
1072,-991.2,12,93859
1073,-988.06,16,93875
1074,-990.27,15,93890
1075,-990.16,16,93906
1076,-444.11,80,93986
1077,-460.51,56,94042
1078,-990.08,15,94057
1079,-992.26,14,94071
1080,-989.86,19,94090
1081,-991.05,13,94103
1082,-441.35,92,94195
1083,-985.73,15,94210
1084,-988.43,16,94226
1085,-984.96,24,94250
1086,-986.95,21,94271
1087,-988.18,17,94288
1088,-482.54,35,94323
1089,-918.61,135,94458
1090,-992.31,15,94473
1091,-989.94,15,94488
1092,-989.52,16,94504
1093,-985.14,22,94526
1094,-992.4,13,94539
1095,-924.35,111,94650
1096,-989.6,14,94664
1097,-932.28,115,94779
1098,-990.71,12,94791
1099,-987.21,19,94810
1100,-979.61,37,94847
1101,-984.16,24,94871
1102,-990.23,14,94885
1103,-989.29,15,94900
1104,-986.66,18,94918
1105,-991.19,12,94930
1106,-925.9,126,95056
1107,-460.53,50,95106
1108,-987.93,12,95118
1109,-976.18,37,95155
1110,-980.56,31,95186
1111,-986.64,24,95210
1112,-922.35,115,95325
1113,-980.0,23,95348
1114,-992.42,12,95360
1115,-972.79,46,95406
1116,-476.88,38,95444
1117,-991.18,12,95456
1118,-986.71,19,95475
1119,-989.81,12,95487
1120,-986.2,18,95505
1121,-989.1,19,95524
1122,-982.43,30,95554
1123,-990.9,16,95570
1124,-971.29,45,95615
1125,-989.17,16,95631
1126,-985.93,22,95653
1127,-992.43,13,95666
1128,-988.81,18,95684
1129,-990.15,16,95700
1130,-986.4,19,95719
1131,-461.85,60,95779
1132,-989.75,19,95798
1133,-974.93,43,95841
1134,-990.15,12,95853
1135,-981.6,33,95886
1136,-992.25,12,95898
1137,632.4,1001,96899
1138,-449.24,71,96970
1139,-981.91,24,96994
1140,-987.96,15,97009
1141,-979.25,30,97039
1142,-916.23,106,97145
1143,-977.54,37,97182
1144,-976.6,32,97214
1145,-921.15,111,97325
1146,-985.96,20,97345
1147,-988.86,22,97367
1148,-449.99,78,97445
1149,-985.08,17,97462
1150,-987.26,16,97478
1151,-991.35,15,97493
1152,-994.53,13,97506
1153,-986.19,17,97523
1154,-988.27,23,97546
1155,-983.69,23,97569
1156,-955.44,72,97641
1157,-924.46,114,97755
1158,-986.03,22,97777
1159,-458.38,50,97827
1160,-979.63,31,97858
1161,-989.57,13,97871
1162,-442.58,82,97953
1163,-978.75,26,97979
1164,-981.44,29,98008
1165,-951.26,73,98081
1166,-991.41,14,98095
1167,-921.86,111,98206
1168,-987.19,21,98227
1169,-437.65,97,98324
1170,-449.99,69,98393
1171,-433.15,92,98485
1172,-910.85,132,98617
1173,-457.75,50,98667
1174,-975.57,33,98700
1175,-436.06,93,98793
1176,-978.79,35,98828
1177,-913.77,108,98936
1178,-979.75,29,98965
1179,-456.88,67,99032
1180,-972.29,28,99060
1181,-990.02,12,99072
1182,-438.21,77,99149
1183,-435.29,78,99227
1184,-471.91,44,99271
1185,-989.33,16,99287
1186,-429.03,89,99376
1187,-985.75,15,99391
1188,-986.95,13,99404
1189,-471.91,43,99447
1190,-986.41,20,99467
1191,-991.08,16,99483
1192,-992.76,13,99496
1193,-986.45,23,99519
1194,-946.11,72,99591
1195,-991.42,12,99603
1196,-987.67,21,99624
1197,-430.61,91,99715
1198,-921.57,110,99825
1199,-980.53,29,99854
1200,-989.69,15,99869
1201,-982.92,25,99894
1202,-984.86,18,99912
1203,-439.07,81,99993
1204,-967.27,43,100036
1205,-990.36,12,100048
1206,-980.73,35,100083
1207,-986.98,19,100102
1208,-985.52,18,100120
1209,-991.15,20,100140
1210,-977.12,33,100173
1211,-915.59,108,100281
1212,-438.89,74,100355
1213,-978.06,29,100384
1214,-992.09,12,100396
1215,-433.28,93,100489
1216,-919.48,110,100599
1217,-919.8,112,100711
1218,-919.03,127,100838
1219,-986.25,18,100856
